src,tgt,dep_model,gnn_model,ml_model,seed,f1
es,es,None,None,xlmr-base,11737,0.7549492765767726
es,es,stanza,rgcn,xlmr-base,15123,0.7787675133887688
es,es,stanza,rgat,xlmr-base,15123,0.7600288514300233
es,es,trankit,rgcn,xlmr-base,15123,0.7526357526520655
es,es,trankit,rgat,xlmr-base,15123,0.7763354365631386
es,es,None,None,xlmr-base,15123,0.7606427949780978
es,es,stanza,rgcn,xlmr-base,98105,0.7647485824499377
es,es,stanza,rgat,xlmr-base,98105,0.7415442814810819
es,es,trankit,rgcn,xlmr-base,98105,0.7539084474662179
es,es,trankit,rgat,xlmr-base,98105,0.7336089402972846
es,es,None,None,xlmr-base,98105,0.742575288585642
es,es,stanza,rgcn,xlmr-base,98109,0.757031410366763
es,es,stanza,rgat,xlmr-base,98109,0.749192511199017
es,es,trankit,rgcn,xlmr-base,98109,0.757864418798646
es,es,trankit,rgat,xlmr-base,98109,0.770114230101417
es,es,None,None,xlmr-base,98109,0.745231991089027
es,es,stanza,rgcn,xlmr-base,15232,0.7597573873251794
es,es,stanza,rgat,xlmr-base,15232,0.7721633922329363
es,es,trankit,rgcn,xlmr-base,15232,0.7367787835621413
es,es,trankit,rgat,xlmr-base,15232,0.7728613423299204
es,es,None,None,xlmr-base,15232,0.7997988439970697
es,fr,stanza,rgcn,mbert-base,11737,0.8285712001926633
es,fr,stanza,rgat,mbert-base,11737,0.7903853207762453
es,fr,trankit,rgcn,mbert-base,11737,0.8247430671418352
es,fr,trankit,rgat,mbert-base,11737,0.78047398254341
es,fr,None,None,mbert-base,11737,0.7827318854241362
